# Freeze manifest for fixtures/adabas-export.csv
# Generated by the freeze step. Regenerate whenever the export changes.
#
# The hash is SHA-256 over the RAW, byte-exact source line, canonicalised only
# by stripping a trailing CR. Deliberately NOT over the normalised record: a
# change to normalisation must not invalidate every manifest.
#
# HEADER_HASH binds the run to the source SCHEMA. Renaming a column changes
# classification while every row hash still matches, so the header is hashed too.
#
# SOURCE_LINE is the 1-based line number in the export, header counted as line 1.
# So the first data record is line 2.
freezeDate=2026-09-15
cutoffMonths=6
runId=00000000-0000-0000-0000-000000000001
recordCount=13
headerHash=sha256:c992ce741fb99e525c621bb4eca9885edbfd359f17581d6490e69f416a569f7f
SOURCE_LINE,CASE_REF,SOURCE_HASH
2,LP-2026-000001,sha256:0156e9bd753e06646310088e08edcbe340bd319e9e78b99abc1bee5fa3250f55
3,LP-2026-000002,sha256:ed62832bf8b2e310fc48d30191732fdfbaba61cd571b9ac9f9b53a463aadaa93
4,LP-2026-000003,sha256:9d5236f46b9449fce7b22e185443492ba8444cb964a05cdc884b995edd6bec5d
5,LP-2026-000004,sha256:71c1225f7b6f8b757bae827661f3a8bc83e12768a8aae20e2076beff1cc65cd0
6,LP-2026-000005,sha256:04fba56f6b4e7b318238ac5781f6735171a52d919edb2138a10d034b3f960a7e
7,LP-2021-000006,sha256:61be433949f4e00dc52f41ea2b4f7ac5a0ba284d3d6b61fadb6e066daaba1d84
8,LP-2026-000007,sha256:88a8d4453a561c9df7955902d0c5bcf025fcb374f2189bcb0e42b30e8e39ad47
9,LP-2025-000008,sha256:2949d3b49acc367ce066a241fea9e179d1754877d88fc7fbb39be4732fa0cd14
10,LP-2026-000009,sha256:967aa316578bc97b7a6260e214cb1ec6111b51971f0ba95af7687577bd900a89
11,LP-2026-000010,sha256:d3d78ae81a807fc2d4a965f6f0458b56f4af79addb07fe82e2d80722dd0bd705
12,LP-2026-000011,sha256:c34e059aec072faa700dc389470137cc7d8925819be9fbdfe1ccf9f97a749c1f
13,,sha256:3db274ff04649d56e5b23661e1130d142fd89fb4fe2be26a432355402b2742a8
14,LP-2026-000013,sha256:59e12e7b65630673dc2c6a98c870bd08be2a1ebe8ad4582bcc327e18da022c6e
